"특성별",2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"특성별",전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원)
"전체",200400,209095,216259,208718,201266,190395,185960,182297,178346,180606,186703,194852,209970,193532,234158,259538,271144
"대도시",101427,103660,104086,98835,95040,91562,89716,86488,83883,84274,88957,89462,95063,90139,106222,116380,121192
"서울",47410,48258,52502,49119,48018,43536,43629,42771,41424,41263,44017,44439,46853,45758,52389,57709,59154
"광역시",54016,55401,51584,49716,47021,48026,46087,43717,42459,43011,44940,45022,48209,44381,53833,58671,62038
"대도시 이외",98973,105435,112173,109883,106226,98833,96244,95809,94462,96331,97745,105390,114907,103393,127937,143158,149951
"중소도시",84634,90785,91114,88467,85577,83514,79432,77823,78885,81301,78752,87116,94318,83143,102006,113730,120404
"읍면지역",14339,14650,21059,21415,20649,15318,16812,17986,15577,15031,18993,18274,20588,20251,25931,29427,29548
"과목: 일반교과 사교육",160457,169275,175627,169217,161935,155773,148802,143831,138947,135056,135865,142600,154052,153223,179398,195936,203787
"국어",20267,20275,19548,18299,15657,13969,12638,11317,10848,11318,12577,13854,15013,16014,19271,21577,23669
"영어",61283,68513,71747,69720,67685,64602,63318,61497,58348,55443,54250,56729,61381,59908,71396,77943,79873
"수학",51717,56081,59703,59260,59024,60200,57762,57683,55932,53636,53931,55479,58915,59960,67356,73246,76350
"사회, 과학",14566,13720,14519,12508,10834,8991,7148,6799,6703,7025,7420,7744,8503,8786,10466,11360,12140
"논술",7223,5838,5426,5447,5545,5311,5734,4785,4988,5390,5274,6030,6525,5994,7518,8236,8228
"제2외국어, 한문, 컴퓨터 등",5402,4848,4681,3985,3190,2700,2203,1750,2128,2244,2414,2764,3715,2561,3390,3575,3527
"컴퓨터",-,-,-,-,-,-,-,-,-,-,-,-,1155,733,1261,1536,1487
"제2외국어, 한문 등",-,-,-,-,-,-,-,-,-,-,-,-,2560,1828,2129,2039,2040
"과목: 예체능, 취미·교양 사교육",39150,39172,40044,38925,38675,33969,36741,37949,38730,44733,49160,50706,54274,38641,53102,61975,65543
"음악",17097,17705,18426,17569,17293,14141,14568,14671,13923,16246,16650,16336,17706,12432,16855,19140,18422
"미술",7142,7329,6732,6577,6149,5763,6850,6604,6586,7352,7889,8718,9119,6960,9916,10879,11107
"체육",12108,11241,11989,12005,12526,10957,12089,13534,14886,17163,19548,20652,22524,15861,22199,26987,30281
"취미·교양",2803,2897,2896,2776,2708,3106,3234,3141,3334,3972,5072,5001,4924,3388,4132,4969,5733
"과목: 취업관련 사교육",792,648,587,577,656,652,418,516,669,816,1197,929,910,895,901,736,833
"과목: 진로·진학 학습상담",-,-,-,-,-,-,-,-,-,-,480,616,734,773,758,890,981
"유형: 일반교과 사교육",160457,169275,175627,169217,161935,155773,148802,143831,138947,135056,135865,142600,154052,153223,179398,195936,203787
"개인과외",24744,25787,29649,27939,28010,26924,25574,24503,24825,21923,19337,20234,19902,21147,24214,24602,23000
"그룹과외",17502,16514,18640,19127,18126,18204,16755,16330,15997,13536,14644,14854,14377,14410,15095,14698,13516
"학원수강",98202,108642,109203,106036,102509,99837,96842,93520,89106,89075,90923,95727,106974,105446,124475,139755,150344
"방문학습지",18003,16130,15393,13529,11107,8833,8008,7974,7485,7480,7801,7920,7996,7199,7357,7253,6751
"유료인터넷 및 통신강좌 등",2007,2202,2740,2586,2184,1975,1623,1503,1534,3042,3159,3865,4803,5021,8257,9628,10175
"유형: 예체능, 취미·교양 사교육",39150,39172,40044,38925,38675,33969,36741,37949,38730,44733,49160,50706,54274,38641,53102,61975,65543
"개인과외",5874,5862,8185,8290,7634,5037,6422,6981,7206,7282,8050,8099,7884,7049,7409,8027,7728
"그룹과외",2795,2356,3076,3105,3049,2287,2551,2783,3159,2951,3752,3996,4137,3018,3081,3584,3385
"학원수강",29456,30051,27909,26642,27068,25694,27316,27912,27734,32264,34482,36192,39804,27214,41019,48273,51981
"방문수업 및 기타",1025,903,875,888,924,950,451,274,631,2236,2876,2420,2449,1359,1593,2091,2450
